name,code,category,retail_price,cost_price,description
"10 Port PoE AC Router DS-3WG210GP-SI","NW361","Networking",3144.00,2169.00,"DS-3WG210GP-SI(O-STD)"
"Wireless CPE DS-3WF02C-5AC/O 5GHz 9dBi","NW257","Networking",1216.00,839.00,"DS-3WF02C-5AC/O"
"V3 Wireless Base Station DS-3WF0FA-5AC/O","NW258","Networking",3912.00,2699.00,"DS-3WF0FA-5AC/O"
"Wireless Kit DS-3WF02-5AC/D 5GHz 12dBi","NW259","Networking",2223.00,1519.00,"DS-3WF02-5AC/D(O-STD)"
"Wireless Kit DS-3WF3000-EI-5AC/P 8dBi","NW260","Networking",1798.00,1229.00,"DS-3WF3000-EI-5AC/P(O-STD)"
"INTERCOM 3 Module Gate Station Frame SM","LK451-3","Intercom",2688.00,1837.00,"DS-KD-ACW3"
"INTERCOM Video Module","LK451-5","Intercom",3444.00,2353.76,"DS-KD8003-IME1/Surface(B)"
"INTERCOM Video Master Station","LK451-8","Intercom",15965.00,10913.00,"DS-KM9503"
"INTERCOM 10"" TS Convergence Indoor","LK451-11","Intercom",4906.00,3385.00,""
"New DS-KH9510-WTE1 INTERCOM 7"" TS Indoor Monitor","LK451-12","Intercom",2932.00,2003.75,""
"New DS-KH6350-WTE1(O-STD) INTERCOM Villa Analogue 7"" Monitor","LK451-14","Intercom",1193.00,815.00,""
"New DS-KH2230T INTERCOM Video Nametag Module","LK452","Intercom",877.00,599.00,"DS-KD-KK"
"INTERCOM Video Keypad Module","LK453","Intercom",1861.00,1275.00,"DS-KD-KP"
"INTERCOM Video Display Module","LK453-1","Intercom",1689.00,1154.00,"DS-KD-DIS"
"INTERCOM Video MiFare Card Reader","LK453-2","Intercom",1141.34,779.92,"DS-KD-M"
"INTERCOM Video Blank Module","LK454","Intercom",454.53,310.36,"DS-KD-BK"
"Hik Access Secure Indoor Relay RS485","LK455","Access Control",915.07,624.73,"DS-K2M061"
"ACCESS FP Card Terminal 804","LK461","Access Control",2073.00,1417.00,"DS-K1T804AMF"
"ACCESS FP Card Terminal 805","LK461-3","Access Control",2477.00,1709.00,""
"New DS-K1T805MBFWX ACCESS FP Card Reader 1201MF","LK462","Access Control",1272.00,869.00,"DS-K1201AMF"
"ACCESS FP & Facial Enrollment Stn","LK463","Access Control",6834.00,4715.00,"DS-K1F600U-D6E-F"
"ACCESS FP Enrollment Reader","LK463-1","Access Control",1494.00,1030.21,"DS-K1F820-F"
"INTERCOM 1-1 Video Kit","LK499","Intercom",6413.00,4394.00,"DS-KIS602"
"Intercom Hybrid Villa Analogue Kit","LK499-2","Intercom",3723.00,2559.00,""
"New DS-KIS313-P(O-STD) INTERCOM Protective Shield - Advanced","LK458-1","Intercom",450.00,310.00,"DS-KABD8003-RS1"
"INTERCOM 2 Module Rainshield","LK458-2","Intercom",600.00,414.00,"DS-KABD8003-RS2"
"INTERCOM 3 Module Rainshield","LK458-3","Intercom",887.83,606.60,"DS-KABD8003-RS3"
"ACCESS Pro FR Pro Face Terminal 673","LK460-7-2","Access Control",10232.00,6863.00,"DS-K1T673DWX"
"Hik Access Rainshield 34X","LK460-8-1","Access Control",373.00,254.80,"DS-KAB34X-S1"
"Hik Acces Rainshield for LK460-7-2","LK460-8-2","Access Control",516.00,356.00,"DS-KAB673-S1"
"Hik Access Wall Mount Bracket","LK460-8-3","Access Control",514.00,354.00,""
"New DS-KAB6-W1 ACCESS FR Terminal 341CMFW","LK460-10-1","Access Control",5792.00,3968.66,"DS-K1T341CMFW"
"ACCESS Mini FR Terminal 342","LK460-14","Access Control",5182.00,3542.16,"DS-K1T342MFWX-E1"
"Access Mini FR Terminal 342 No Bio","LK460-15","Access Control",4336.00,2950.00,"DS-K1T342MWX-E1"
"ACCESS Single Door Controller","LK491","Access Control",4453.23,3047.58,""
"EOL DS-K2601 ACCESS Two Door Controller","LK491-1","Access Control",4920.00,3362.95,"DS-K2602"
"ACCESS Four Door Controller","LK491-4","Access Control",6192.00,4272.00,"DS-K2604"
"VMS HC Access Control 1 Door License","CDC100-AC","Software",925.00,594.00,"HikCentral-P-ACS-1Door"
"VMS HC Access Control Base Lic 2 Dr","CDC100-AC-BASE","Software",3610.00,2473.00,"HikCentral-P-ACS-2Door/Base/"
"VMS HC Access Control Base Lic 16 Dr","CDC100-AC-BASE-16","Software",4375.00,2998.50,"HikCentral-P-ACS-16Door/Base/P"
"AX-PRO Wireless PIR Detector","BD400","Intrusion",863.00,589.80,"DS-PDP15P-EG2-WE"
"AX-PRO Wireless DT PIR Detector","BD400-1","Intrusion",1443.00,995.00,"DS-PDD12P-EG2-WE"
"AX-PRO Internal Universal PIR Bracket","BD400-10","Intrusion",42.00,28.90,""
"NEW DS-PDB-IN-UBKT2 AX-PRO Wireless PIR-CAM 24/7 Detector","BD400-2-1","Intrusion",2147.00,1481.00,"DS-PDPC12PF-EG2-WE(B)"
"AX-PRO Wireless Curtain Dual Detector","BD400-3-1","Intrusion",1448.00,992.00,"DS-PDC10DM-EG2-WE"
"AX-PRO Wireless Outdoor TT Detector","BD400-4","Intrusion",3012.00,2064.00,"DS-PDTT15AM-LM-WE"
"AX-PRO RF Camera Module","BD400-5","Intrusion",1674.00,1143.60,"DS-PDCM15PF-IR"
"AX-PRO Wireless Outdoor 180 Detector","BD400-6","Intrusion",5118.00,3498.00,"DS-PDQP15AM-LM-WE"
"AX-PRO Wireless Indoor Ceiling Detector","BD400-7","Intrusion",786.00,538.00,"DS-PDCL12-EG2-WE"
"AX-PRO Wireless Water Leak Detector","BD405","Intrusion",791.00,540.30,"DS-PDWL-E-WE"
"AX-PRO Wireless Temp Detector","BD405-1","Intrusion",853.00,588.00,"DS-PDTPH-E-WE"
"AX-PRO Wireless Kit 868MHz 64 Z 2G","CP400","Intrusion",4090.00,2794.00,""
"EOL DS-PWA64-KIT-WE AX-PRO Wireless Kit 868MHz 96 Z 3G/4G","CP400-1","Intrusion",5767.00,3939.90,"DS-PWA96-KIT-WE"
"AX-PRO Panel Only 868MHz 96 Z 3G/4G","CP400-1-P","Intrusion",4091.00,2796.00,"DS-PWA96-M-WE"
"AX-PRO Panel Only 868MHz 64 Z 2G","CP400-P","Intrusion",2830.00,1933.10,""
"EOL DS-PWA64-L-WE AX-PRO Wireless Kit 64 Zones No 2G","CP400-2","Intrusion",3466.00,2369.00,"DS-PWA64-Kit-WE(O-STD)/AFRICA"
"AX PRO Ultra Hybrid 96 Zone","CP400-3","Intrusion",5149.00,3539.00,"DS-PWA96-M2H-WE"
"AX-PRO Wireless Internal Sounder","CP402","Intrusion",879.00,609.00,"DS-PS1-I-WE(B)(O-STD)/Red"
"AX-PRO Wireless Outdoor Sounder Red","CP402-1","Intrusion",1589.00,1089.00,"DS-PS1-E-WE(O-STD)/Red"
"AX-PRO Wireless Outdoor Sounder Blue","CP402-2","Intrusion",1629.00,1112.90,"DS-PS1-E-WE"
"AX-PRO Wireless LCD Keypad","CP403-1","Intrusion",1894.00,1299.00,"DS-PK1-LT-WE"
"AX Hybrid alarm LED Wired Keypad","CP403-2","Intrusion",611.00,458.00,"DS-PKG-H8L(O-STD)"
"AX-PRO Wireless Tag Reader","CP404","Intrusion",882.00,602.50,"DS-PT1-WE"
"AX-PRO Wireless Keyfob","CP405","Intrusion",447.00,309.00,"DS-PKF1-WE(B)(O-STD)"
"AX-PRO Tag","CP405-1","Intrusion",42.00,28.60,"DS-PT-M1"
"AX-PRO Wireless Universal Tx","CP406","Intrusion",631.00,433.00,"DS-PM1-I1-WE"
"AX-PRO Wireless Multi I/O Tx","CP406-1","Intrusion",2290.00,1564.50,"DS-PM1-I16O2-WE"
"AX-PRO Wireless Repeater Plus","CP407","Intrusion",1783.00,1219.00,"DS-PR1-WE(B)"
"AX-PRO Wireless Relay Module","CP409","Intrusion",583.00,398.00,"DS-PM1-O1L-WE"
"AX-PRO Wireless Wall Switch","CP409-1","Intrusion",661.00,456.00,"DS-PM1-O1H-WE"
"AX-PRO Wireless Smart Plug","CP409-2","Intrusion",651.00,444.70,"DS-PSP1-WE"
"AX-PRO Radio Connection Cable","CP410-1","Intrusion",66.00,45.20,"DS-PWA-CABLE(O-STD)/SOUTH"
"AFRI AX-PRO Wireless Smoke Detector","FR400","Intrusion",1398.00,982.00,"DS-PDSMK-S-WE"
"AX-PRO Wireless Door Contact","MC400","Intrusion",584.00,399.00,"DS-PDMC-EG2-WE"
"AX-PRO 12V PSU Module","PS400","Intrusion",332.00,237.00,"DS-PM1-D"
"AX-PRO Wireless Kit 868MHz 64 Zones","SP400","Intrusion",4982.00,3464.00,""
"On Request AX-PRO Wireless Kit 868MHz 96 Zones","SP400-1","Intrusion",6534.00,4543.00,""
"On Request AX-PRO Wireless Panic Button","SW400","Intrusion",419.00,289.00,"DS-PDEB1-EG2-WE(O-STD)"
"Switch GNT-P1006GA 4P PoE","NW101","Networking",999.00,684.00,"GNT-P1006GA"
"PoE Extender GNT-P1006G6 4P PoE (no PSU)","NW101-2","Networking",924.98,635.39,"GNT-P1006G6"
"Switch GS105GE 5P (12VDC Input)","NW101-3-1","Networking",850.00,599.00,"GS105GE"
"Switch GNT-P1012G6 8P PoE","NW101-9","Networking",2580.71,1768.38,"GNT-P1012G6"
"Switch GNT-P1002M6 8P PoE Managed","NW101-10","Networking",3171.59,2166.97,"GNT-P1002M6"
"Brackets Set for NW101 and NW101-9","NW550","Networking",33.00,24.30,""
